PUBCHEM_CID,y_prob_attention,y_prob_CNN,y_prob_GCN,y_prob_GNN_attention,Label
2902133,0.5412167,0.7690742,0.46138394,0.87162465,1
1798129,0.17062567,0.34118363,0.44254264,0.0145754265,0
3233260,0.25971752,0.46305057,0.49333638,0.23388968,0
778398,0.3471282,0.41169497,0.45960724,3.3450777e-07,0
1388836,0.6184765,0.59951097,0.47855568,0.97844553,1
135498002,0.648309,0.5964085,0.4866484,0.99731773,1
2840206,0.6788701,0.59297144,0.49563408,0.98371947,1
2565430,0.13244738,0.39140823,0.42893592,0.0017133589,0
